"ChangeId","DateTime","Name","ProvisioningStepType","Status","Description"
"45ab4211-59c5-47c2-b3cb-4b4d8ac178bd","2026-05-24T23:42:45Z","EntryImportUpdate","import","success","Received User 'c897ae1b-09b0-4a6e-a57f-3d465cd68b96' change of type (Update) from Microsoft Entra ID"
"45ab4211-59c5-47c2-b3cb-4b4d8ac178bd","2026-05-24T23:42:45Z","EntryImport","matching","success","Retrieved  'abonavita@IDSentinelSolutions.com' from AWSSingleSignon"
"45ab4211-59c5-47c2-b3cb-4b4d8ac178bd","2026-05-24T23:42:45Z","EntrySynchronizationScoping","scoping","success","Determine if User in scope by evaluating against each scoping filter"
"45ab4211-59c5-47c2-b3cb-4b4d8ac178bd","2026-05-24T23:42:45Z","EntrySynchronizationDeactivate","processing","success","The User 'c897ae1b-09b0-4a6e-a57f-3d465cd68b96' is disabled in Microsoft Entra ID, but active in AWSSingleSignon. They will be disabled in AWSSingleSignon."
"45ab4211-59c5-47c2-b3cb-4b4d8ac178bd","2026-05-24T23:42:45Z","EntryExportUpdateSoftDelete","export","success","User 'c897ae1b-09b0-4a6e-a57f-3d465cd68b96' was updated in AWSSingleSignon"
"45ab4211-59c5-47c2-b3cb-4b4d8ac178bd","2026-05-24T23:42:45Z","EntryImportAdd","import","success","Received Group 'All company users dynamic group' change of type (Add) from Microsoft Entra ID"
"45ab4211-59c5-47c2-b3cb-4b4d8ac178bd","2026-05-24T23:42:45Z","EntrySynchronizationSkip","scoping","skipped","The Group 'All company users dynamic group' will be skipped due to the following reasons: 
1) This object is not assigned to the application. If you did not expect the object to be skipped, assign the object to the application or change your scoping filter to allow all users and groups to be in scope for provisioning.
2) This object does not have required entitlement for provisioning. If you did not expect the object to be skipped, update provisioning scope to 'Sync all users and groups' or assign the object to the application with entitlement of provisioning category
"
"45ab4211-59c5-47c2-b3cb-4b4d8ac178bd","2026-05-24T23:42:44Z","EntryImportAdd","import","success","Received User 'amolino@IDSentinelSolutions.com' change of type (Add) from Microsoft Entra ID"
"45ab4211-59c5-47c2-b3cb-4b4d8ac178bd","2026-05-24T23:42:44Z","EntrySynchronizationSkip","scoping","skipped","The User 'amolino@IDSentinelSolutions.com' will be skipped due to the following reasons: 
1) This object is not active in the source system.
"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:59Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-Engineering' change of type (Update) from Microsoft Entra ID"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:59Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:59Z","EntryExportUpdate","export","success","Group 'GRP-AWS-Engineering' was updated in AWSSingleSignon"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:59Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-DevOps' change of type (Update) from Microsoft Entra ID"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:59Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:59Z","EntryExportUpdate","export","success","Group 'GRP-AWS-DevOps' was updated in AWSSingleSignon"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:58Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-Engineering' change of type (Update) from Microsoft Entra ID"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:58Z","EntryImport","matching","success","Retrieved  'GRP-AWS-Engineering' from AWSSingleSignon"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:58Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:58Z","EntryExportUpdate","export","success","Group 'GRP-AWS-Engineering' was updated in AWSSingleSignon"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:58Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-DevOps' change of type (Update) from Microsoft Entra ID"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:58Z","EntryImport","matching","success","Retrieved  'GRP-AWS-DevOps' from AWSSingleSignon"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:58Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:58Z","EntryExportUpdate","export","success","Group 'GRP-AWS-DevOps' was updated in AWSSingleSignon"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:57Z","EntryImportAdd","import","success","Received User 'amolino@IDSentinelSolutions.com' change of type (Add) from Microsoft Entra ID"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:57Z","EntrySynchronizationSkip","scoping","skipped","The User 'amolino@IDSentinelSolutions.com' will be skipped due to the following reasons: 
1) This object is not active in the source system.
"
"8fc35469-2028-4e0a-bd8d-082862b85e23","2026-05-24T22:22:42Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-Engineering' change of type (Update) from Microsoft Entra ID"
"8fc35469-2028-4e0a-bd8d-082862b85e23","2026-05-24T22:22:42Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"8fc35469-2028-4e0a-bd8d-082862b85e23","2026-05-24T22:22:42Z","EntryExportUpdate","export","success","Group 'GRP-AWS-Engineering' was updated in AWSSingleSignon"
"8fc35469-2028-4e0a-bd8d-082862b85e23","2026-05-24T22:22:42Z","EntryImportAdd","import","success","Received User 'amolino@IDSentinelSolutions.com' change of type (Add) from Microsoft Entra ID"
"8fc35469-2028-4e0a-bd8d-082862b85e23","2026-05-24T22:22:42Z","EntrySynchronizationSkip","scoping","skipped","The User 'amolino@IDSentinelSolutions.com' will be skipped due to the following reasons: 
1) This object is not active in the source system.
"
"166daa2a-c658-47a5-9069-638dd34e6551","2026-05-24T22:18:30Z","EntryImport","import","success","Retrieved Group 'GRP-AWS-Engineering' from Microsoft Entra ID"
"166daa2a-c658-47a5-9069-638dd34e6551","2026-05-24T22:18:30Z","EntryImport","matching","success","Retrieved  'GRP-AWS-Engineering' from AWSSingleSignon"
"166daa2a-c658-47a5-9069-638dd34e6551","2026-05-24T22:18:30Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"166daa2a-c658-47a5-9069-638dd34e6551","2026-05-24T22:18:30Z","EntryExportUpdate","export","success","Group 'GRP-AWS-Engineering' was updated in AWSSingleSignon"
"166daa2a-c658-47a5-9069-638dd34e6551","2026-05-24T22:18:29Z","EntryImport","import","success","Retrieved User 'abonavita@IDSentinelSolutions.com' from Microsoft Entra ID"
"166daa2a-c658-47a5-9069-638dd34e6551","2026-05-24T22:18:29Z","EntrySynchronizationScoping","scoping","success","Determine if User in scope by evaluating against each scoping filter"
"166daa2a-c658-47a5-9069-638dd34e6551","2026-05-24T22:18:29Z","EntrySynchronizationAdd","matching","success","User 'abonavita@IDSentinelSolutions.com' will be created in AWSSingleSignon (User is active and assigned in Microsoft Entra ID, but no matching User was found in AWSSingleSignon)"
"166daa2a-c658-47a5-9069-638dd34e6551","2026-05-24T22:18:29Z","EntryExportAdd","export","success","User 'abonavita@IDSentinelSolutions.com' was created in AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:19:01Z","EntryImportUpdate","import","success","Received User 'amolino@IDSentinelSolutions.com' change of type (Update) from Microsoft Entra ID"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:19:01Z","EntrySynchronizationScoping","scoping","success","Determine if User in scope by evaluating against each scoping filter"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:19:01Z","EntrySynchronizationSkip","processing","skipped","User amolino@IDSentinelSolutions.com will be skipped, because it has not been matched with any entry in the target directory, and there has been no change in any attribute that could alter that state. "
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-Engineering' change of type (Update) from Microsoft Entra ID"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImport","matching","success","Retrieved  'GRP-AWS-Engineering' from AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryExportUpdate","export","success","Group 'GRP-AWS-Engineering' was updated in AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-Engineering' change of type (Update) from Microsoft Entra ID"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryExportUpdate","export","success","Group 'GRP-AWS-Engineering' was updated in AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-Engineering' change of type (Update) from Microsoft Entra ID"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryExportUpdate","export","success","Group 'GRP-AWS-Engineering' was updated in AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-DevOps' change of type (Update) from Microsoft Entra ID"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImport","matching","success","Retrieved  'GRP-AWS-DevOps' from AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryExportUpdate","export","success","Group 'GRP-AWS-DevOps' was updated in AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-DevOps' change of type (Update) from Microsoft Entra ID"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryExportUpdate","export","success","Group 'GRP-AWS-DevOps' was updated in AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-DevOps' change of type (Update) from Microsoft Entra ID"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryExportUpdate","export","success","Group 'GRP-AWS-DevOps' was updated in AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-DevOps' change of type (Update) from Microsoft Entra ID"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryExportUpdate","export","success","Group 'GRP-AWS-DevOps' was updated in AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-Security' change of type (Update) from Microsoft Entra ID"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImport","matching","success","Retrieved  'GRP-AWS-Security' from AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryExportUpdate","export","success","Group 'GRP-AWS-Security' was updated in AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-Security' change of type (Update) from Microsoft Entra ID"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryExportUpdate","export","success","Group 'GRP-AWS-Security' was updated in AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-Security' change of type (Update) from Microsoft Entra ID"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryExportUpdate","export","success","Group 'GRP-AWS-Security' was updated in AWSSingleSignon"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryImportUpdate","import","success","Received Group 'GRP-AWS-Security' change of type (Update) from Microsoft Entra ID"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntrySynchronizationScoping","scoping","success","Determine if Group in scope by evaluating against each scoping filter"
"9bb8ccbf-bb25-4801-abe9-0ecc36328e02","2026-05-24T21:18:59Z","EntryExportUpdate","export","success","Group 'GRP-AWS-Security' was updated in AWSSingleSignon"
